"","...1","Hard.to.go.on.with.work.if.not.encouraged..SCORE.","Feel.resentful.when.I.don.t.get.my.way..SCORE.","On.occasion..given.up.doing.something.because.thought.too.little.of.my.ability..SCORE.","Rebelling.against.people.in.authority.even.though.they.were.right..SCORE.","No.matter.who.I.m.talking.to..I.m.always.a.good.listener..SCORE.","Been.occasions.when.I.took.advantage.of.someone..SCORE.","Always.willing.to.admit.it.when.I.make.a.mistake..SCORE.","I.sometimes.try.to.get.even.rather.than.forgive.and.forget..SCORE.","I.am.always.courteous..even.to.people.who.are.disagreeable..SCORE.","Never.been.irked.when.people.expressed.ideas.very.different..SCORE.","There.have.times.when.I.was.quite.jealous.of.the.good.fortune.of.others..SCORE.","I.am.sometimes.irritated.by.people.who.ask.favors.of.me..SCORE.","I.have.never.deliberately.said.something.that.hurt.someone.s.feelings..SCORE.","social desirability score"
"1","02-001",0,1,0,0,0,1,0,0,0,1,0,1,1,5
"2","02-002",0,0,0,1,0,0,0,0,1,1,0,1,1,5
"3","02-003",0,1,0,0,0,0,0,0,0,0,0,0,1,2
"4","02-004",0,0,1,0,0,0,0,0,0,0,0,0,0,1
"5","02-005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","02-006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","02-007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","02-008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","02-009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","02-010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","02-011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","02-012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","02-013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","02-014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","02-015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","02-016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","02-017",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","02-018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","02-019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","02-020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","02-021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","02-022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","02-023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","02-024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","02-025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","02-026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","02-027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","02-028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","02-029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","02-030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","02-031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","02-032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","02-033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","02-034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","02-035",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","02-036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","02-037-inconsistent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","02-038",0,1,1,0,0,1,0,0,1,1,1,0,1,7
"39","02-039-inconsistent",0,1,1,0,0,1,0,0,1,1,1,0,1,7
"40","02-040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","02-041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","02-042",0,1,0,0,0,1,0,0,0,0,0,0,1,3
"43","02-043",0,0,1,1,0,1,0,1,0,1,0,1,0,6
"44","02-044",1,0,0,0,0,0,1,1,0,1,1,1,0,6
"45","02-045",1,0,1,0,0,1,0,1,1,1,1,0,1,8
"46","02-046",1,1,0,1,0,0,0,1,0,0,1,0,1,6
"47","02-047",0,1,1,1,0,0,0,1,1,0,1,0,1,7
"48","02-048",1,1,0,1,0,0,0,1,0,0,1,1,0,6
"49","02-049",1,0,0,0,0,1,0,0,0,1,0,1,1,5
"50","02-050",1,0,1,1,0,1,1,0,0,0,1,1,0,7
"51","02-051",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","02-052",1,1,0,0,0,0,0,1,0,0,0,1,0,4
"53","02-053",0,0,0,0,0,0,0,0,0,0,0,1,1,2
"54","02-054",1,1,0,1,0,1,0,1,0,1,0,0,0,6
"55","02-055",1,0,1,0,0,0,0,0,0,0,1,1,0,4
"56","02-056",0,0,1,0,0,1,1,1,1,0,1,0,1,7
"57","02-057",1,1,0,1,0,1,1,1,0,0,0,0,0,6
"58","02-058",1,1,1,1,1,1,1,1,0,0,1,1,1,11
"59","02-059",0,1,1,1,0,0,0,1,1,0,1,0,1,7
"60","02-060",1,0,1,0,0,1,0,0,0,1,0,0,0,4
"61","02-061",1,1,0,0,0,0,0,1,0,1,0,0,0,4
"62","02-062",1,1,0,1,0,0,0,1,0,0,0,0,1,5
"63","02-063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","02-064",0,0,1,0,0,1,0,1,0,0,1,1,0,5
"65","02-065",0,0,1,0,0,0,0,0,0,1,0,0,1,3
"66","02-066",1,1,1,0,0,0,0,0,1,1,0,0,0,5
"67","02-067",1,0,0,0,0,0,1,0,1,0,0,0,1,4
"68","02-068",0,0,1,0,0,0,0,0,0,1,0,1,1,4
"69","02-069",1,1,1,1,1,1,1,0,0,1,1,0,1,10
"70","02-070",0,0,0,0,0,0,0,1,0,1,1,0,1,4
"71","02-071",1,0,0,0,0,0,0,1,0,1,0,0,0,3
"72","02-072",0,0,0,1,0,0,0,0,1,1,1,0,1,5
"73","02-073",0,0,1,0,0,1,0,0,0,1,1,0,1,5
"74","02-074",1,1,0,1,0,0,0,1,0,0,0,0,1,5
"75","02-075",0,0,0,0,0,0,1,0,1,1,0,0,0,3
"76","02-076",1,1,1,1,0,1,1,1,0,1,1,0,0,9
"77","02-077",0,0,1,0,1,1,1,1,0,0,0,0,1,6
"78","02-078",0,1,1,1,1,0,0,0,0,1,1,1,0,7
"79","02-079",0,1,0,1,1,0,0,1,1,1,0,0,0,6
"80","02-080",1,1,0,0,0,0,0,0,0,0,0,0,1,3
"81","02-081",0,0,0,0,0,0,1,1,0,0,0,0,1,3
"82","02-082",1,1,1,1,0,1,1,1,0,0,1,1,0,9
"83","02-083",0,0,0,1,0,0,0,1,0,1,1,0,1,5
"84","02-084",0,1,1,1,0,1,0,1,0,0,1,1,0,7
"85","02-085",0,1,0,1,0,1,0,0,1,0,0,1,1,6
"86","02-086",1,1,0,1,0,1,1,1,0,1,1,1,0,9
"87","02-087",0,0,0,0,0,1,0,1,1,0,1,0,1,5
"88","02-088",1,0,0,0,0,0,0,1,0,0,0,0,1,3
"89","02-089",1,0,1,1,0,0,0,1,0,1,0,0,1,6
"90","02-090",0,1,0,0,0,0,0,0,0,0,0,0,1,2
"91","02-091",1,1,1,0,0,0,0,0,0,1,1,1,0,6
"92","02-092",0,0,1,1,0,0,0,0,1,0,0,0,1,4
"93","02-093",1,1,0,1,0,1,1,1,1,1,1,1,1,11
"94","02-094",0,0,1,1,1,0,0,0,1,0,1,1,0,6
"95","02-095",1,0,1,1,1,1,1,1,0,0,0,1,0,8
"96","02-096",0,0,0,1,0,1,0,1,0,0,0,1,0,4
"97","02-097",0,1,1,0,0,1,1,0,1,0,1,0,1,7
"98","02-098",1,0,1,0,0,0,1,1,0,1,1,1,1,8
"99","02-099",1,1,0,1,0,0,1,0,1,1,0,1,1,8
"100","02-100",0,1,0,1,0,0,0,0,0,1,0,1,0,4
"101","02-101",1,0,0,0,0,1,0,0,1,1,1,0,1,6
"102","02-102",1,1,0,0,0,0,0,1,0,1,0,0,0,4
"103","02-103",1,1,0,0,0,0,0,1,1,1,0,1,0,6
"104","02-104",1,0,0,1,1,0,0,1,0,1,0,1,1,7
"105","02-105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","02-106",0,0,0,1,0,0,0,1,0,0,0,1,1,4
"107","02-107",0,0,1,1,0,0,0,1,1,0,0,1,0,5
"108","02-108",1,1,0,0,0,0,0,0,1,1,0,0,1,5
"109","02-109",0,1,0,0,0,0,0,1,1,0,0,0,0,3
"110","02-110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","02-111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","02-112",1,1,0,1,0,0,1,0,1,0,1,1,0,7
"113","02-113",1,0,1,1,0,0,1,1,0,1,0,1,1,8
"114","02-114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","02-115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","02-116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","02-117",1,1,0,1,0,0,0,0,1,0,0,0,1,5
"118","02-118",1,0,1,0,0,0,1,1,0,1,0,0,1,6
"119","02-119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","02-120",1,0,0,1,0,1,1,0,1,1,0,0,1,7
"121","02-121",1,0,0,0,0,1,0,0,0,1,1,0,1,5
"122","02-122",1,0,0,0,0,0,0,1,1,1,1,1,0,6
"123","02-123",0,0,0,0,0,0,0,0,1,1,0,0,1,3
"124","02-124",1,1,1,0,1,1,1,1,0,1,1,1,1,11
"125","02-125",1,1,1,1,0,0,1,1,0,0,1,1,1,9
"126","02-126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","02-127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","02-128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","02-129",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","02-130",0,1,0,1,0,0,0,1,1,1,0,0,0,5
"131","02-131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","02-132",1,0,1,1,0,0,1,0,0,1,0,1,0,6
"133","02-133",1,1,1,1,0,1,0,0,0,0,1,0,1,7
"134","02-134",0,0,1,1,0,0,1,1,1,0,0,0,1,6
"135","02-135",1,0,1,1,1,0,0,0,1,1,1,0,1,8
"136","02-136",0,1,0,1,1,0,1,1,0,1,0,0,1,7
"137","02-137",0,0,0,1,0,0,0,0,0,1,0,0,1,3
"138","02-138",0,1,1,1,0,0,0,0,0,1,1,0,0,5
"139","02-139",0,1,1,0,1,1,0,0,1,1,0,1,0,7
"140","02-140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","02-141",0,1,0,0,0,1,0,0,1,1,1,0,1,6
"142","02-142",0,0,1,1,1,1,0,0,1,0,0,0,0,5
"143","02-143",1,1,0,0,0,0,0,1,0,1,0,0,1,5
"144","02-144",0,1,1,1,1,1,0,0,1,1,0,1,1,9
"145","02-145",1,1,1,0,0,0,0,1,0,0,1,1,0,6
"146","02-146",0,1,1,0,0,1,0,1,0,1,1,0,1,7
"147","02-147",0,0,0,0,0,0,0,0,0,0,1,0,0,1
"148","02-148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","02-149",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","02-150",1,1,1,1,1,1,1,0,0,1,1,0,1,10
"151","02-151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","02-152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","02-153",1,0,0,0,1,0,0,1,0,1,0,0,0,4
"154","02-154",0,0,0,1,0,0,0,1,0,0,0,0,1,3
"155","02-155",1,1,1,1,0,1,0,1,0,1,0,0,NA,NA
"156","02-156",0,0,0,0,0,0,0,1,1,0,0,0,0,2
"157","02-157",0,0,0,1,0,1,0,1,0,0,1,0,1,5
"158","02-158",1,0,0,0,0,0,0,0,1,0,0,0,1,3
"159","02-159",0,0,1,0,0,1,0,1,1,0,0,0,0,4
"160","02-160",1,1,1,1,0,0,1,1,0,1,1,1,1,10
"161","02-161",0,1,0,0,0,1,1,1,0,0,1,1,1,7
"162","02-162",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","02-163",1,1,0,0,0,1,1,0,0,1,0,1,1,7
"164","02-164",0,1,1,0,0,0,0,0,0,0,0,0,0,2
"165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","01-001",0,1,1,1,0,0,0,1,1,0,1,0,0,6
"167","01-002",1,0,1,1,0,1,1,0,0,0,0,1,0,6
"168","01-003",0,1,0,1,0,0,0,0,0,0,0,0,1,3
"169","01-004",0,1,1,0,0,0,1,0,1,1,0,0,0,5
"170","01-005",1,1,1,0,0,0,0,1,1,1,0,1,0,7
"171","01-006",1,1,0,0,1,0,1,0,1,0,0,0,0,5
"172","01-007",1,1,1,1,0,1,0,0,1,0,0,0,1,7
"173","01-008",1,1,0,0,0,0,0,0,0,1,0,0,1,4
"174","01-009",0,0,1,0,0,0,0,1,0,0,0,0,1,3
"175","01-010",0,1,0,0,0,0,0,0,0,0,0,0,1,2
"176","01-011",0,1,0,1,0,0,1,0,0,1,0,0,1,5
"177","01-012",0,1,1,1,0,1,0,1,0,0,1,0,0,6
"178","01-013",1,0,1,1,0,0,0,1,0,1,0,1,0,6
"179","01-015",0,1,0,0,0,0,0,1,0,1,0,0,1,4
"180","01-016",1,1,0,1,1,1,0,1,0,0,1,0,1,8
"181","01-017",1,0,1,1,1,1,0,1,0,1,0,1,0,8
"182","01-019",1,1,1,1,1,0,1,0,1,1,0,1,1,10
"183","01-021",0,1,1,1,0,1,0,1,0,1,1,1,1,9
"184","01-022",1,1,1,1,0,0,0,0,0,1,1,1,0,7
"185","01-023",0,1,0,0,0,0,0,0,0,0,0,0,0,1
"186","01-024",0,0,1,0,0,1,0,0,1,1,0,0,0,4
"187","01-025",0,1,0,1,0,1,1,1,1,1,1,0,1,9
"188","01-026",0,1,0,1,0,0,0,1,0,0,1,1,1,6
"189","01-027",0,0,1,0,0,0,0,1,1,0,0,0,0,3
"190","01-028",0,1,1,1,1,1,1,1,1,1,1,1,1,12
"191","01-030",0,1,1,0,0,1,0,0,0,0,0,0,0,3
"192","01-031",1,1,1,1,0,1,1,1,1,0,0,0,0,8
"193","01-033",1,1,1,1,1,1,0,0,0,0,1,0,1,8
"194","01-034",0,1,1,1,0,0,0,0,1,0,1,0,0,5
"195","01-035",0,0,1,0,0,0,0,1,0,1,0,0,0,3
"196","01-037",1,1,0,0,0,0,0,0,1,1,1,1,0,6
"197","01-038",1,1,0,1,0,1,1,1,1,1,1,0,0,9
"198","01-039",0,1,1,0,0,1,0,1,0,0,0,1,0,5
"199","01-040",0,1,0,1,0,0,0,1,0,1,0,1,0,5
"200","01-041",0,1,0,0,0,0,0,1,0,0,0,1,0,3
"201","01-043",0,1,0,1,1,1,1,1,0,1,0,1,1,9
"202","01-044",0,0,0,1,0,0,0,0,1,0,1,1,0,4
"203","01-045",0,1,1,1,1,1,1,1,1,1,1,1,1,12
"204","01-046",0,1,1,1,1,1,0,1,0,1,1,0,1,9
"205","01-047",1,0,0,0,0,0,1,0,0,1,0,1,0,4
"206","01-048",0,0,0,0,1,0,1,0,1,1,0,0,1,5
"207","01-050",0,0,1,0,0,0,0,0,1,0,0,1,1,4
"208","01-051",1,0,1,0,0,0,0,0,0,0,1,1,0,4
"209","01-052",1,0,1,1,0,1,1,1,1,0,0,0,0,7
"210","01-053",0,1,1,1,0,0,0,1,0,1,0,0,1,6
"211","01-054",0,1,0,0,0,0,0,0,0,1,0,0,1,3
"212","01-055",1,0,1,1,0,1,0,1,1,0,0,1,0,7
"213","01-056",1,1,1,0,0,1,0,1,0,1,1,1,1,9
"214","01-057",1,1,0,1,0,1,0,0,1,1,1,0,0,7
"215","01-059",1,0,1,1,0,0,0,0,0,0,0,0,0,3
"216","01-060",1,1,1,0,0,0,0,0,1,1,0,0,0,5
"217","01-061",0,1,1,1,0,1,1,1,1,1,1,0,1,10
"218","01-062",1,1,1,1,0,1,0,0,0,0,1,1,1,8
"219","01-063",1,1,1,1,0,1,0,1,0,0,1,1,1,9
"220","01-065",0,1,1,0,0,0,0,1,1,1,0,1,0,6
"221","01-066",1,0,0,0,0,0,0,1,1,0,1,0,0,4
"222","01-067",1,0,0,0,0,0,1,1,0,1,0,0,0,4
"223","01-070",1,0,1,1,1,0,0,1,0,1,0,0,0,6
"224","01-071",0,0,1,0,0,0,0,0,0,0,1,0,1,3
"225","01-072",0,1,1,1,0,1,0,1,1,1,0,1,0,8
"226","01-073",1,0,1,1,0,1,0,1,1,1,1,1,0,9
"227","01-074",0,1,1,1,0,1,0,1,0,1,0,0,1,7
"228","01-076",1,1,1,0,0,0,0,0,1,0,1,0,1,6
"229","01-077",1,1,0,1,0,0,1,0,0,0,1,0,0,5
"230","01-079",1,0,1,1,0,0,0,1,0,0,0,1,0,5
"231","01-080",0,1,1,1,0,0,0,1,1,1,0,1,0,7
"232","01-081",1,1,1,0,0,0,0,0,0,1,0,0,0,4
"233","01-084",0,1,0,0,0,1,0,1,1,1,1,1,0,7
"234","01-085",0,0,0,0,1,0,1,0,1,1,0,0,1,5
"235","01-086",0,0,1,1,0,0,1,1,1,0,1,1,0,7
"236","01-087",0,1,1,1,0,0,1,1,0,1,1,0,1,8
"237","01-088",1,0,0,0,0,0,0,0,1,0,0,1,0,3
"238","01-089",1,1,0,1,0,0,0,1,1,1,0,0,0,6
"239","01-091",0,0,0,0,0,0,0,0,1,1,0,0,0,2
"240","01-092",1,0,0,0,0,0,0,0,0,1,0,1,0,3
"241","01-094",1,1,0,1,0,0,1,1,1,0,0,0,0,6
"242","01-095",0,0,0,0,0,0,0,1,1,1,0,0,0,3
"243","01-096",1,1,0,0,0,1,0,1,0,0,0,1,0,5
"244","01-097",0,0,0,0,0,0,0,1,1,1,0,0,0,3
"245","01-098",0,1,1,1,0,1,0,1,0,1,0,0,1,7
"246","01-099",1,1,0,1,0,0,1,1,1,0,1,0,0,7
"247","01-100",1,0,0,0,0,1,0,1,1,0,0,1,0,5
"248","01-101",0,1,1,1,0,1,0,1,1,1,0,0,0,7
"249","01-102",1,1,1,1,0,1,0,1,0,0,0,0,1,7
"250","01-105",0,1,1,1,0,1,0,1,1,1,0,0,1,8
"251","01-106",1,1,1,1,0,1,0,1,1,1,0,0,0,8
"252","01-107",0,1,1,1,0,1,0,1,1,1,0,0,1,8
"253","01-108",1,1,1,1,0,1,1,1,1,0,0,1,0,9
"254","01-110",0,1,0,1,0,1,0,1,0,0,0,1,0,5
"255","01-113",1,1,0,0,0,1,0,1,1,1,0,0,0,6
"256","01-115",1,1,1,1,0,1,0,1,0,0,0,0,0,6
"257","01-116",0,1,1,1,0,1,0,1,1,1,0,0,0,7
"258","01-117",0,1,1,1,0,1,0,1,1,1,0,0,0,7
"259","01-118",0,1,1,1,0,1,0,1,1,0,1,0,0,7
"260","01-119",1,1,1,1,0,1,0,1,1,1,0,0,1,9
"261","01-120",0,1,1,1,0,1,0,1,0,0,1,1,0,7
"262","01-121",1,1,1,1,0,0,0,1,1,0,0,0,0,6
"263","01-122",1,1,1,1,0,1,0,1,0,0,0,0,1,7
"264","01-123",1,1,1,1,0,1,0,1,0,1,0,0,1,8
"265","01-124",0,1,1,1,0,1,0,1,1,0,0,0,1,7
"266","01-125",0,1,1,1,0,1,0,1,0,0,0,0,1,6
"267","01-126",0,1,1,1,0,1,0,1,0,1,0,1,1,8
"268","01-127",1,1,1,1,0,1,0,1,0,0,0,0,1,7
"269","01-128",1,1,1,1,0,1,0,1,0,1,0,0,1,8
"270","01-129",0,1,1,1,0,1,0,1,1,1,0,0,1,8
"271","01-131",0,1,1,0,0,0,0,1,1,0,1,0,0,5
"272","01-132",1,1,1,1,0,1,0,1,0,0,0,0,1,7
"273","01-134",0,1,1,1,0,1,0,1,1,1,1,0,0,8
"274","01-135",0,0,0,1,0,1,0,1,0,1,0,0,0,4
"275","01-136",1,1,1,1,0,1,0,1,1,1,0,0,1,9
"276","01-137",0,1,1,0,0,1,1,1,0,0,1,1,1,8
"277","01-138",0,1,1,1,0,0,0,0,1,1,0,0,0,5
"278","01-139",1,0,1,0,0,0,0,0,1,1,0,0,1,5
"279","01-141",0,1,1,1,0,1,0,1,0,0,1,1,0,7
"280","01-147",1,1,1,1,0,1,0,1,0,1,1,0,0,8
"281","01-148",0,1,1,1,0,1,0,1,1,1,0,0,0,7
"282","01-149",1,1,1,1,0,1,0,1,0,0,0,0,0,6
"283","01-150",0,1,1,1,0,1,0,1,1,1,0,0,0,7
"284","01-152",0,0,0,0,1,0,1,0,1,1,0,0,1,5
"285","01-153",0,0,0,0,1,0,1,0,1,1,0,0,1,5
"286","01-154",0,0,0,0,1,0,1,0,1,1,0,0,1,5
"287","01-157",0,0,0,0,1,0,1,0,1,1,0,0,1,5
"288","01-168",0,0,0,0,1,0,1,0,1,1,0,0,1,5
"289","01-171",0,0,0,0,1,0,1,0,1,1,0,0,1,5
"290","01-174",0,0,0,0,1,0,1,0,1,1,0,0,1,5
"291","01-176",0,0,0,0,1,0,1,0,1,1,0,0,1,5
